,count
Bengaluru,941
Pune,134
Chennai,127
Hyderabad,116
Mumbai,91
Kolkata,88
New Delhi,84
Hybrid - Bengaluru,54
Gurugram,18
Noida,11
Mumbai (All Areas),10
Remote,9
Delhi / NCR,8
Coimbatore,6
Unknown,5
Bangalore Rural,3
Jaipur,3
Hosur,3
Surat,2
Ahmedabad,2
Hyderabad/Secunderabad,2
Hybrid - Bengaluru(Whitefield),2
Bengaluru(Basaveshwara Nagar),1
Bengaluru(Sector 7 HSR Layout),1
Bengaluru(Whitefield),1
Hybrid - Bengaluru(ITPL),1
Dehradun,1
Hybrid - Bengaluru(Koramangala),1
Navi Mumbai,1
Bengaluru(JP Nagar),1
Indore,1
Bengaluru(Nelamangala),1
Kolkata(Sector 5 Salt Lake),1
Bengaluru(Kodathi),1
Hyderabad(Gachibowli +1),1
Kanakapura,1
Devanahalli,1
Mysuru,1
Nelamangala,1
Hosakote,1
Ramanagara,1
Bengaluru(Bannerghatta Road),1
Hybrid - Bengaluru(Jigani),1
Hybrid - Bengaluru(Marathahalli),1
Gurugram(Sector 62),1
Hybrid - Bengaluru(Vasanth nagar +1),1
Bengaluru(HSR Layout),1
Bengaluru(Marathahalli),1
Vadodara,1
HSR Layout,1
Tirupati,1
Bengaluru(Frazer Town),1
Mumbai (All Areas)(Andheri East),1
Bokaro,1
