title,company,min_exp,max_exp,location,skills,posted_days
Cutover Analyst,EY,0,5,['Bengaluru'],"['assurance', 'team management', 'sap', 'operational excellence', 'microsoft sharepoint', 'analytical', 'consulting', 'software development life cycle']",7.0
LEC- Analyst,JPMorgan Chase Bank,0,3,['Bengaluru'],"['financial statements', 'regulatory reporting', 'financial reporting', 'accounting', 'senior analyst', 'analytical', 'reconciliation', 'legal']",7.0
Analyst,Grant Thornton,0,1,['Bengaluru'],"['microsoft office applications', 'data research', 'customer service', 'ms office outlook', 'microsoft windows', 'financial analysis', 'data analysis', 'sap']",1.0
Programmatic - Analyst,Omnicom Media Group,1,3,['Bengaluru'],"['digital marketing', 'trading', 'advisory services', 'analytical', 'performance monitoring', 'consulting', 'google', 'market research']",2.0
Analyst,Deloitte Consulting,3,6,['Bengaluru'],"['plm', 'supply chain', 'delmia', 'hypermesh', 'data management', 'analytical', 'ansys', 'automotive']",4.0
Sr. FP&A Analyst,Alstom,4,7,['Bengaluru'],"['financial systems', 'variance analysis', 'project accounting', 'corporate finance', 'fpa', 'financial analysis', 'analysts', 'data analysis']",2.0
Analyst - L3,Wipro,3,5,['Bengaluru'],"['data analysis', 'sql', 'data quality', 'etl', 'digital transformation', 'financial analysis', 'data analytics', 'data management']",14.0
Social Listening - Analyst,Annalect,3,5,['Bengaluru'],"['public relations', 'data management', 'project management', 'analytical', 'mysql', 'market research', 'support services', 'media planning']",3.0
Rights and Permissions Analyst,Pearson,5,10,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['publishing', 'digital content', 'analytical', 'social media', 'cost reduction', 'workflow', 'troubleshooting', 'continuous improvement']",7.0
RTR Analyst,CBRE,2,5,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['accounts receivable', 'balance sheet', 'business services', 'investment', 'accounting', 'general ledger', 'cash applications', 'research']",1.0
FinOps Analyst,Grant Thornton,0,1,['Bengaluru'],"['project management', 'power bi', 'sharepoint', 'accounting', 'business operations', 'capa', 'management skills', 'bi']",1.0
Social Listening - Analyst,Omnicom Media Group,3,6,['Bengaluru'],"['data management', 'data', 'analytical', 'multitasking', 'social listening', 'media', 'public relations', 'building']",4.0
T&T- HC- WT- CSOD- Analyst- Bangalore,Deloitte Consulting,2,5,['Bengaluru'],"['human capital', 'client satisfaction', 'ticketing', 'senior analyst', 'analytical', 'manager technology', 'research', 'management']",7.0
OneStream Analyst,Grant Thornton,1,2,"['Bengaluru', 'Kolkata']","['forecasting', 'dashboards', 'budgeting', 'financial reporting', 'troubleshooting', 'financial analysis', 'erp', 'data validation']",1.0
Analyst,Grant Thornton,2,4,"['Bengaluru', 'Kolkata']","['analysts', 'project management', 'auditing', 'accounting', 'service delivery', 'financial analysis', 'risk management', 'mortgage advisors']",1.0
Date Analyst (Unpaid),Saveo,0,2,['Bengaluru'],"['data analysis', 'financial analysis', 'risk assessment', 'c++', 'windows xp', 'credit analysis', 'investment banking', 'business analysis']",4.0
Analyst,KPMG Assurance and Consulting Services LLP,0,1,"['Bengaluru', 'Hyderabad']","['accounting', 'tds', 'invoice processing', 'gst', 'journal entries', 'accounts payable', 'process', 'invoicing']",7.0
Analyst - C&RM,Grant Thornton India Pvt Ltd,0,1,['Bengaluru'],"['excel', 'c', 'data management', 'staffing', 'focus', 'manager technology', 'business management', 'hr']",14.0
Teamcenter Analyst,Tata Technologies,5,7,['Bengaluru'],"['teamcenter', 'corporate social responsibility', 'water', 'emission', 'waste management', 'project management', 'csr', 'engine calibration']",1.0
FinOps Analyst,ADM,7,12,['Bengaluru'],"['procurement', 'financial reporting', 'billing', 'financial planning', 'active directory', 'budgeting', 'forecasting', 'variance analysis']",7.0
Analyst,Merck Group,1,5,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['data validation', 'spss', 'quantum', 'market research', 'healthcare', 'sql', 'salesforce', 'java']",1.0
Analyst,Merck Group,1,5,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['master data', 'erp', 'python', 'sap', 'oracle', 'data analysis', 'order management', 'sfdc']",1.0
GCP Analyst,EXL,5,10,"['Hybrid - Bengaluru', 'Pune', 'Delhi / NCR']","['python', 'sas', 'gcp', 'bigquery', 'banking', 'analysis']",1.0
Label Analyst,Shell,5,10,['Bengaluru'],"['product life cycle management', 'adobe creative suite', 'pms', 'mockups', 'printing and packaging', 'project management', 'css', 'ux']",1.0
Analyst,CDW India It Solutions,4,8,"['Hybrid - Bengaluru', 'Hyderabad', 'Chennai']","['fortigate', 'network security', 'checkpoint', 'firewall', 'analysis', 'security', 'networking']",1.0
Analyst,CDW India It Solutions,4,9,"['Hybrid - Bengaluru', 'Chennai']","['ms defender', 'sentinel', 'edr', 'azure sentinel', 'crowdstrike', 'qradar', 'microsoft azure', 'analysis']",1.0
Analyst,Cargill,2,7,['Bengaluru'],"['accounting', 'quality management', 'ohsas 18001', 'quality assurance', 'qms', 'financial analysis', 'session management', 'project management']",1.0
SDC - FinOps Analyst,Stripe,5,7,['Bengaluru'],"['procurement', 'payroll', 'operational excellence', 'financial reporting', 'coding', 'invoice processing', 'billing', 'strategic sourcing']",1.0
Analyst-Mobility,Goldman Sachs,1,6,['Bengaluru'],"['relationship management', 'analytical skills', 'payroll', 'diversity and inclusion', 'wellness', 'growth strategy', 'investment banking', 'investment management']",7.0
Analyst,Dentsu Global Services,0,1,"['Bengaluru', 'Gurugram', 'Chennai']","['digital marketing', 'excel', 'powerpoint', 'digital', 'marketing', 'analysis']",14.0
Metadata analyst,Data and AI Based organisation,5,8,['Hybrid - Bengaluru'],"['metadata management', 'metadata', 'data catalog', 'collibra', 'data governance', 'data', 'governance', 'analysis']",2.0
Analyst,Goldman Sachs,1,3,['Bengaluru'],"['python', 'project management', 'confluence', 'process design', 'manual testing', 'power bi', 'business analysis', 'sql']",2.0
Analyst,Cargill,2,7,['Bengaluru'],"['sap', 'senior analyst', 'management systems', 'transport management', 'management', 'troubleshooting', 'freight', 'monitoring']",2.0
PPSM Analyst,Accenture,3,5,['Bengaluru'],"['six sigma', 'sap', 'lean six sigma', 'presentation skills', 'lean', 'erp', 'service operations', 'service management']",3.0
Analyst,Wipro,1,3,['Bengaluru'],"['client handling', 'customer service', 'legal services', 'expense management', 'email management', 'legal research', 'llb', 'legal documentation']",7.0
FinOps Analyst,Grant Thornton India Pvt Ltd,0,1,['Bengaluru'],"['expense management', 'analytical', 'billing', 'microsoft', 'operations', 'analytics', 'auditing', 'crm']",
Analyst,Merkle B2b,0,2,"['Bengaluru', 'Mumbai', 'New Delhi', 'Pune', 'Chennai', 'Gurugram']","['analytical skills', 'training', 'basic', 'excel', 'senior analyst', 'social media', 'ms office', 'digital marketing']",
Analyst,Merkle B2b,0,2,['Bengaluru'],"['computer science', 'coding', 'machine learning', 'agile', 'data structures', 'jira', 'internship', 'analytics']",14.0
Analyst - Angular,Deloitte Consulting,0,4,['Bengaluru'],"['automation', 'data management', 'performance management', 'analytical', 'machine learning', 'javascript', 'workflow', 'business intelligence']",
Analyst,Grant Thornton India Pvt Ltd,0,5,"['Bengaluru', 'Kolkata']","['training', 'service delivery', 'basic', 'interpersonal skills', 'senior analyst', 'people management skills', 'project management', 'analytical']",
Fresher - Analyst,Quantum Leap Consulting,0,0,['Bengaluru'],"['communication skills', 'analysis']",14.0
Senior FP&A Analyst,Skillz,3,6,['Bengaluru'],"['health insurance', 'san', 'operational support', 'financial planning', 'management consulting', 'investment banking', 'budgeting', 'microsoft']",4.0
EPM Analyst (EPBCS),Verifone,3,4,['Bengaluru'],"['management accounting', 'data management', 'reconciliation', 'consulting', 'financial planning', 'application development', 'budgeting', 'troubleshooting']",5.0
Senior FP&A Analyst,Allegion,4,6,['Bengaluru'],"['erp', 'sap', 'us gaap', 'financial reporting', 'financial analysis', 'financial planning', 'navision', 'budgeting']",7.0
Analyst,Wipro,1,4,['Bengaluru'],"['project management', 'operations management', 'process documentation', 'digital transformation', 'finance', 'financial analysis', 'data analysis', 'team management']",7.0
GN - SONG - MT - Hyperpersonalization - Analyst.,Accenture,2,7,['Bengaluru'],"['project management', 'data analysis', 'fintech', 'sales', 'marketing', 'risk management', 'management skills', 'business analysis']",7.0
PPSM Analyst,Accenture,3,5,['Bengaluru'],"['service operations', 'accounting', 'business administration', 'r2r', 'finance and accounts', 'financial analysis', 'project management', 'data analysis']",7.0
Analyst,Uniqus,0,3,['Bengaluru'],"['analytical skills', 'risk compliance', 'risk advisory', 'excel', 'financial reporting', 'risk control', 'accounting', 'senior analyst']",21.0
Analyst - L3,Wipro,3,5,['Bengaluru'],"['training and development', 'hrsd', 'job description', 'recruitment', 'thunderhead', 'financial analysis', 'screening', 'employee relations']",7.0
Analyst,Wipro,1,3,['Bengaluru'],"['partnership tax', 'private equity', 'accounting', 'taxation', 'ca', 'financial analysis', 'us tax', 'us gaap']",7.0
Analyst - L3,Wipro,3,5,['Bengaluru'],"['kubernetes', 'openshift', 'ansible', 'java', 'jenkins', 'financial analysis', 'investment banking', 'redhat linux']",7.0
Analyst - L3,Wipro,3,5,['Bengaluru'],"['redhat openshift', 'docker', 'devops', 'aws', 'digital transformation', 'financial analysis', 'kubernetes', 'openshift']",7.0
PPSM Analyst,Accenture,3,5,['Bengaluru'],"['data analysis', 'accounting', 'master data management', 'business administration', 'finance and accounts', 'financial analysis', 'project management', 'service operations']",7.0
FP&A Opex Analyst,TE Connectivity,3,8,['Bengaluru'],"['data analysis', 'sap', 'accounting', 'hfm', 'hyperion', 'financial analysis', 'forecasting', 'hyperion essbase']",7.0
OneStream Analyst,Grant Thornton India Pvt Ltd,1,2,"['Bengaluru', 'Kolkata']","['analyst', 'erp', 'financial reporting', 'reconciliation', 'business rules', 'budgeting', 'troubleshooting', 'continuous improvement']",14.0
Cybersecurity Specialist / Analyst,ti Steps,0,2,"['Bengaluru', 'Hyderabad', 'Chennai']","['ethical hacking', 'communication skills', 'cyber security', 'analytical', 'it security', 'cyber', 'analytics', 'hacking']",21.0
Analyst GSOC,Saks Global,1,5,['Bengaluru'],"['cctv monitoring', 'alarm monitoring', 'asset protection', 'surveillance', 'physical security', 'command center', 'incident reporting', 'command']",2.0
Analyst,Sisa Information Security,2,4,['Bengaluru'],"['remediation', 'testing tools', 'owasp', 'programming', 'php', 'nmap', 'mobile testing', 'android']",5.0
Analyst,Wipro,1,4,"['Bengaluru', 'Gurugram']","['geneva', 'accounting', 'asset servicing', 'technical support', 'digital transformation', 'financial analysis', 'investment banking', 'hedge funds']",7.0
EDR Analyst,Capgemini,4,9,"['Hybrid - Bengaluru', 'Pune', 'Mumbai (All Areas)']","['configuration and management', 'crowdstrike', 'ms defender', 'carbon black', 'tanium', 'microsoft defender firewall', 'threat hunting', 'tanium enforce']",7.0
Analyst - L3,Wipro,3,5,['Bengaluru'],"['technical support', 'kubernetes', 'python', 'project management', 'operations management', 'team management', 'maven', 'docker']",7.0
Analyst - L3,Wipro,3,5,['Bengaluru'],"['matlab', 'technical support', 'troubleshooting', 'matlab simulink', 'technical documentation', 'targetlink', 'simulink', 'c++']",7.0
LEC- Analyst,JPMorgan Chase Bank,1,6,['Bengaluru'],"['financial statements', 'us gaap', 'financial reporting', 'ms access', 'financial analysis', 'gaap', 'user acceptance testing', 'financial services']",7.0
Analyst,Wipro,1,3,['Bengaluru'],"['customer service', 'performance reporting', 'process compliance', 'financial reporting', 'financial statements', 'project management', 'private equity', 'process documentation']",7.0
Analyst,Wipro,1,3,['Bengaluru'],"['process compliance', 'technical support', 'private equity', 'operational excellence', 'capital market', 'project management', 'valuation', 'digital transformation']",7.0
Analyst,Wipro,1,3,['Bengaluru'],"['process compliance', 'private equity', 'capital market', 'fund accounting', 'financial statements', 'technical support', 'valuation', 'operational excellence']",7.0
Analyst,Wipro,1,4,['Bengaluru'],"['customer service', 'technical support', 'process compliance', 'troubleshooting', 'operational excellence', 'project management', 'operations management', 'team management']",7.0
Analyst,Wipro,1,3,['Bengaluru'],"['customer service', 'hedge funds', 'accounting', 'financial accounting', 'financial statements', 'project management', 'private equity', 'capital market']",7.0
Controllership Analyst,Accenture,3,5,['Bengaluru'],"['balance sheet', 'service operations', 'blackline', 'general ledger', 'controllership', 'financial analysis', 'general accounting', 'variance analysis']",14.0
Analyst,Wipro,1,4,['Bengaluru'],"['customer service', 'technical support', 'process compliance', 'troubleshooting', 'operational excellence', 'project management', 'operations management', 'team management']",14.0
Analyst - PAS WKFA - NAT - CNS - PC,EY,2,3,['Bengaluru'],"['nat', 'service delivery', 'assurance', 'quality standards', 'operational excellence', 'client servicing', 'focus', 'agile']",14.0
Analyst,Center Study Science Technology Policy,0,1,['Bengaluru'],"['data analysis', 'environmental science', 'literature', 'analytical', 'research', 'resource management', 'ms office', 'application analyst']",
Analyst,Seekho Ai,0,4,['Bengaluru'],"['analytical skills', 'management information system', 'excel', 'business analysis', 'mis', 'business analytics', 'market research', 'data visualization']",
Date Analyst (Unpaid),Saveo,0,2,['Bengaluru'],"['procurement', 'supply chain', 'risk assessment', 'analytical', 'pharmacy', 'pharma', 'manager technology', 'customer retention']",
Analyst,Center Study Science Technology Policy,0,2,['Bengaluru'],"['economics', 'chemical', 'literature', 'simulation', 'analytical', 'mechanical', 'data collection', 'application analyst']",
All Rounder Analyst,Alchmi Growth Services,0,3,['Bengaluru'],"['excel', 'senior analyst', 'analytical', 'competitor analysis', 'market research', 'research', 'analysis', 'analytics']",
Thermal 1D simulation analyst,Volvo,3,8,['Bengaluru'],"['cfd', 'thermodynamics', 'fluid mechanics', 'automation', 'simulation', 'senior analyst', 'construction equipment', 'thermal']",7.0
finanacial Analyst,Diageo India,2,3,['Bengaluru'],"['cashflow', 'p&ll account', 'gross profit ratio', 'advance excell', 'analysis', 'excel', 'p', 'cash flow']",3.0
Analyst,Please connect with me for client details,1,3,['Bengaluru'],"['sap', 'cash applications', 'otc', 'order to cash', 'accounts receivable', 'dispute management', 'cash apps', 'receivable']",14.0
Analyst,Please connect with me for client details,2,6,['Bengaluru'],"['aml', 'kyc', 'transaction monitoring', 'cdd', 'qc', 'screening', 'sanction screening', 'edd']",14.0
eCatalog Analyst,Thermo Fisher Scientific India,1,3,['Bengaluru'],"['catalog management', 'content management', 'automation', 'b2b', 'manager quality assurance', 'digital content', 'senior analyst', 'process improvement']",14.0
Analyst,Syngene,3,8,['Bengaluru'],"['cro', 'nutrition', 'data management', 'gcp', 'pharma', 'clinical research', 'life sciences', 'glp']",7.0
GN- T&O-Analyst-OA,Accenture,2,4,['Bengaluru'],"['python', 'machine learning', 'sql', 'r', 'business data analysis', 'management consulting', 'data analysis', 'data analytics']",21.0
Analyst,Wipro,1,3,['Bengaluru'],"['data analysis', 'data management', 'ms office tools', 'advanced excel', 'portfolio management', 'analysts', 'risk management', 'mortgage advisors']",14.0
Analyst,Goldman Sachs,1,3,['Bengaluru'],"['relationship management', 'data analysis', 'analytical', 'html', 'investment banking', 'risk management', 'analytics', 'financial services']",21.0
Analyst,Wipro,2,3,['Bengaluru'],"['oracle', 'accounting', 'finance function', 'tableau', 'fpa', 'financial analysis', 'balance sheet', 'tds']",14.0
CI Analyst,Hitachi Energy,5,10,['Bengaluru'],"['training', 'change management', 'performance management', 'business analyst', 'process improvement', 'analytical', 'project management', 'continuous improvement']",
Analyst,Unitedlex,1,6,['Bengaluru'],"['computer science', 'senior analyst', 'analytical', 'litigation', 'intellectual property', 'data processing', 'workflow', 'data quality']",14.0
GA Analyst,Hitachi Energy,3,4,['Bengaluru'],"['sap ecc', 'costing', 'general accounting', 'master data management', 'accounting', 'analytical', 'financial analyst', 'cost']",
Analyst S&OP,Target,2,3,['Bengaluru'],"['python', 'supply planning', 'demand planning', 'sql', 'r', 'hive', 'microsoft power bi', 'operations planning']",7.0
Nexthink Analyst,Shashwath Solution,4,9,['Bengaluru'],"['project management', 'power bi', 'powershell', 'troubleshooting', 'bash scripting', 'app-v', 'application packaging', 'bi']",7.0
ECG Analyst,Innvocon Learning Solutions,2,4,"['Bengaluru', 'Dehradun']","['ecg databases', 'ecg analysis', 'ecg interpretation', 'cardiac recording analysis', 'ecg abnormalities identification', 'holter monitor review', 'review', 'cardiac']",7.0
SuccessFactors Analyst,FloraFoods Management Pvt. Ltd.,5,10,['Hybrid - Bengaluru(ITPL)'],"['employee central', 'analysis', 'successfactors']",7.0
O2C - Analyst,Placewell1,3,7,['Bengaluru'],"['order to cash', 'otc', 'o2c cash application', 'accounts receivable', 'ar processing', 'o2c billing', 'cash applications', 'application']",7.0
Deal Desk Analyst,Adobe,1,5,['Bengaluru'],"['quote to cash', 'deal desk', 'order management', 'saas', 'salesforce', 'sap', 'power bi', 'pricing']",14.0
SuccessFactors Analyst,Flora Food Group,1,5,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['project management', 'apqp', 'configuration', 'cmdb', 'spc', 'project leadership', 'business rules', 'service catalog']",1.0
Analyst Programmer - .NET (ASP.net & .NET Core),Yokogawa Electric International Pte,3,7,['Bengaluru'],"['coding', 'postgresql', 'artificial intelligence', 'mysql', 'asp.net', 'html', 'json', 'mvc']",1.0
ICP - MS Analyst ( MALE ),Arbro Pharmaceuticals,1,3,['Bengaluru'],"['icp-ms', 'icp-oes', 'icp', 'spectrometer', 'microsoft']",1.0
Analyst,Wipro,0,1,['Bengaluru'],"['bank loan', 'bank debt', 'cash and position reconciliation', 'loan rollover', 'debt', 'cash', 'positioning', 'reconciliation']",21.0
"FinOps Analyst , FinOps",Amazon,0,1,['Bengaluru'],"['service delivery', 'typing speed', 'excel', 'general accounting', 'business modeling', 'oracle financials', 'ms office', 'internship']",
