title,company,experience,location,description,skills,posted
Cutover Analyst,EY,0-5 Yrs,Bengaluru,Proficiency or experience in SAP activities such as upgrades and migration are heavily ...,"Assurance, Team management, SAP, Operational excellence, Microsoft Sharepoint, Analytical, Consulting, Software development life cycle",1 week ago
LEC- Analyst,JPMorgan Chase Bank,0-3 Yrs,Bengaluru,"Bachelor s degree in Accounting, Finance or related business field . Proficient Excel s...","Financial statements, Regulatory reporting, Financial reporting, Accounting, Senior Analyst, Analytical, Reconciliation, Legal",1 week ago
Analyst,Grant Thornton,0-1 Yrs,Bengaluru,Bachelor / Post Graduation degree along with . A check must be performed for every com...,"microsoft office applications, data research, customer service, ms office outlook, microsoft windows, financial analysis, data analysis, sap",1 day ago
Programmatic - Analyst,Omnicom Media Group,1-3 Yrs,Bengaluru,Skill: . Strong command on handling end-end campaign management of DV360 (Campaign set ...,"digital marketing, trading, advisory services, analytical, performance monitoring, consulting, google, market research",2 days ago
Analyst,Deloitte Consulting,3-6 Yrs,Bengaluru,"Provide Level 1 & 2 support for CAD/CAE applications like NX, Delmia, AN...","PLM, Supply chain, Delmia, HyperMesh, Data management, Analytical, Ansys, Automotive",4 days ago
Sr. FP&A Analyst,Alstom,4-7 Yrs,Bengaluru,"Instead, weve listed some that we think will help you succeed and grow in this role: . ...","financial systems, variance analysis, project accounting, corporate finance, fpa, financial analysis, analysts, data analysis",2 days ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,We are looking for a skilled Technical Support professional with 3-5 years of experienc...,"data analysis, sql, data quality, etl, digital transformation, financial analysis, data analytics, data management",2 weeks ago
Social Listening - Analyst,Annalect,3-5 Yrs,Bengaluru,"Skills - Social Listening, Talkwalker, Brandwatch Experience - 3-5 Years Abou...","Public relations, Data management, Project management, Analytical, MySQL, Market research, Support services, Media planning",3 days ago
Rights and Permissions Analyst,Pearson,5-10 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Responsibilities:Manage projects assigned by the R&P Manager / Director to enable best ...,"Publishing, digital content, Analytical, Social media, Cost reduction, Workflow, Troubleshooting, Continuous improvement",1 week ago
RTR Analyst,CBRE,2-5 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","Accordingly, investors should monitor such portion of our website, in addition to follo...","accounts receivable, balance sheet, business services, investment, accounting, general ledger, cash applications, research",1 day ago
Analyst,EY,,Bengaluru,,,Starts in 1-3 months
FinOps Analyst,Grant Thornton,0-1 Yrs,Bengaluru,"Bachelors degree in Accounting, Finance, Business, or related fieldMinimum 0 to 1 years...","project management, power bi, sharepoint, accounting, business operations, capa, management skills, bi",1 day ago
EYP-VME-RE-Analyst,EY,,Bengaluru,,,Starts in 1-3 months
Social Listening - Analyst,Omnicom Media Group,3-6 Yrs,Bengaluru,Shift Time . 6:30PM 3:30AM (IST). Experience working with U.S. clients and on U.S.-focu...,"data management, data, analytical, multitasking, social listening, media, public relations, building",4 days ago
T&T- HC- WT- CSOD- Analyst- Bangalore,Deloitte Consulting,2-5 Yrs,Bengaluru,Experience of working with other learning tech systems is preferredExperience of close ...,"human capital, Client satisfaction, Ticketing, Senior Analyst, Analytical, Manager Technology, Research, Management",1 week ago
OneStream Analyst,Grant Thornton,1-2 Yrs,"Bengaluru, Kolkata",Role DescriptionWe are seeking a motivated and detail-oriented OneStream Analyst to sup...,"forecasting, dashboards, budgeting, financial reporting, troubleshooting, financial analysis, erp, data validation",1 day ago
Analyst,Grant Thornton,2-4 Yrs,"Bengaluru, Kolkata",Conduct and interact with US team via Skype call in order to enhance good relationships.,"analysts, project management, auditing, accounting, service delivery, financial analysis, risk management, mortgage advisors",1 day ago
Date Analyst (Unpaid),Saveo,0-2 Yrs,Bengaluru,"What Were Looking For . Bachelors degree program in Finance, Accounting, Business, or a...","Data Analysis, financial analysis, risk assessment, c++, windows xp, credit analysis, investment banking, business analysis",4 days ago
